Drawing Number,Title,Estimated Completion Date,Released Date,Status
7517-MF-01005-700,"INSTL - CLOSETS, FWD MID CABIN, RH",4/11/2025,4/30/2025,Released
7517-MF-01005-702,"INSTL - CLOSETS, ELEC EQUIPMENT, RH",3/28/2025,4/3/2025,Released
7517-MF-01007-100,"SHELL - CLOSETS, FWD MID CABIN, LH",1/30/2025,2/17/2025,Released
7517-MF-01007-102,"DETAILS - CLOSETS, FWD MID CABIN, LH",2/26/2025,2/28/2025,Released
7517-MF-01007-104,"DETAILS - CLOSETS, DECO PANELS, LH",3/7/2025,3/21/2025,Released
7517-MF-01007-500,"ASSY - CLOSETS, FWD MID CABIN, LH",3/28/2025,3/31/2025,Released
7517-MF-01007-700,"INSTL - CLOSETS, FWD MID CABIN, LH",4/11/2025,4/23/2025,Released
7517-MF-01007-702,"INSTL - CLOSETS, ELEC EQUIPMENT, LH",3/31/2025,4/1/2025,Released
7517-MF-01009-100,"SHELL - BUFFET, MID CABIN, RH",1/30/2025,2/17/2025,Released
7517-MF-01009-102,FLAMMABILITY ASSESSMENT,3/5/2025,3/14/2025,Released
7517-MF-01009-104,"DETAILS - BUFFET, TRASH CAN, RH",2/26/2025,2/26/2025,Released
7517-MF-01009-106,"DETAILS - BUFFET, DRAWERS, RH",2/21/2025,2/24/2025,Released
7517-MF-01009-500,"ASSY - BUFFET, MID CABIN, RH",3/28/2025,3/31/2025,Released
7517-MF-01009-700,"INSTL - BUFFET, MID CABIN, RH",4/11/2025,5/6/2025,Released
7517-MF-01009-702,"INSTL - BUFFET, ELEC EQUIPMENT, RH",4/11/2025,4/4/2025,Released
7517-MF-01011-100,"SHELL - SIDELEDGES, MID CABIN, LH",1/31/2025,2/19/2025,Released
7517-MF-01011-500,"ASSY - SIDELEDGES, MID CABIN, LH",4/8/2025,3/12/2025,Released
7517-MF-01011-700,"INSTL - SIDELEDGES, MID CABIN, LH",4/21/2025,,Drawing Started
7517-MF-01013-700,"MOD - SIDELEDGES, MID CABIN, RH",3/26/2025,4/10/2025,Citadel Check
7517-MR-05400-100,"DETAILS - PLACARDS, CABIN",5/1/2025,,Supplementary Info Gathered
7517-MR-05400-700,"INSTL - PLACARDS, CABIN",5/1/2025,,Not Started
7517-MY-30000-001,PARALLEL 757-200 LOPA,5/10/2025,,Not Started
7517-DM-001,Decorative Material Specification,1/10/2025,1/7/2025,Released
P7517-001,Design Elevation Package,11/18/2024,1/10/2025,Released
7517-MA-04400-700,"MOD - FINISHES, COCKPIT",2/24/2025,2/24/2025,Released
7517-MR-04200-700,"MOD - FINISHES, CLUB SEATING",2/25/2025,2/27/2025,Released
7517-MC-04400-700,"MOD - FINISHES, PLAYERS SECTION",2/26/2025,3/12/2025,Released
7517-MJ-04400-700,"MOD - FINISHES, COACHES SECTION",2/27/2025,3/3/2025,Released
7517-MJ-04400-702,"MOD - FINISHES, MEDIA SECTION",2/28/2025,3/13/2025,Released
7517-MR-04202-100,DTLS - VIP SEAT FOAM BUILDUP,1/31/2025,2/5/2025,Released
7517-MR-04202-700,DEFINITION - VIP SEATS,2/28/2025,3/12/2025,Released
7517-MF-03000-700,INSTL - WINDOW PLUGS,2/17/2025,2/24/2025,Released
7517-MR-04201-700,MOD - CURTAINS,3/25/2025,3/25/2025,Released
7517-MR-04300-700,"INSTL - FLOORING, CABIN",4/7/2025,4/10/2025,Released
7517-MR-05001-702,"MOD -  EMERGENCY BATT, PLAYER AREA",5/15/2025,,Drawing Started
7517-MA-04400-702,"MOD - FINISHES, COCKPIT, PAINT",4/14/2025,4/11/2025,Released
7517-MR-04200-702,"MOD - FINISHES, CLUB SEATING, PAINT",4/14/2025,4/17/2025,Released
7517-MC-04400-702,"MOD - FINISHES, PLAYERS SECTION, PAINT",4/14/2025,4/25/2025,Released
7517-MJ-04400-704,"MOD - FINISHES, COACHES SECTION, PAINT",4/15/2025,4/17/2025,Released
7517-MJ-04400-706,"MOD - FINISHES, MEDIA SECTION, PAINT",4/15/2025,4/28/2025,Released
7517-ET-21000-001,"Test Plan - Ground, Lighting",4/30/2025,,Citadel Check
7517-ET-21000-002,"Test Plan - Ground, Emergency Lighting",3/7/2025,4/10/2025,Released
7517-ET-21000-003,"Test Plan - Ground, CMS/IFE",4/30/2025,,Not Started
7517-ET-21000-004,"Test Plan - Ground, EMI/RFI",3/25/2025,4/28/2025,Released
7517-EX-23000-001,"Report - Electrical Load Analysis, Addendum",4/30/2025,,Not Started
7517-MY-23000-001,PSCP - Project Specific Certification Plan,7/1/2025,,Citadel Check
7517-MT-21000-001,TEST PLAN - FLAMMIBILTY ,5/8/2025,5/7/2025,Released
7517-MX-22000-001,REPORT - FLAMMIBILITY,8/18/2025,,Not Started
7517-MW-23000-001,FLAMMABILITY ASSESSMENT,6/25/2025,,Modeling Complete
7517-MX-22001-001,REPORT - STURCTURAL SUBSTANATION,5/31/2025,,Supplementary Info Gathered
7517-MX-22002-001,REPORT - DAMAGE TOLERANCE EVALUATION,6/15/2025,,Not Started
7517-MX-22004-001,REPORT - INTERIOR COMPLIANCE EVALUATION,5/15/2025,,Not Started
7517-MX-22005-003,REPORT - INTERIOR COMPLIANCE INSPECTION,8/30/2025,,Not Started
7517-MW-23001-001,AIRCRAFT FLIGHT MANUAL SUPPLEMENT,6/1/2025,,Not Started
7517-MX-23001-001,WEIGHT AND BALANCE CONTROL AND LOADING SUPPLEMENT,6/1/2025,,Not Started
7517-MW-23002-001,INSTRUCTIONS FOR CONTINUED AIRWORTHINESS,7/20/2025,,Not Started
7517-MX-23002-001,MAINTENANCE MANUAL SUPPLEMENT,5/15/2025,,Not Started
